"ProductID","ProductName","CategoryName","OrderDate","bulan","tahun","UnitPrice","Quantity","Discount","sales_no_discount","sales"
1,Chai,Beverages,1996-08-20 00:00:00.000,8,1996,"14.4000",45,0.2,"648.0000",518.4
1,Chai,Beverages,1996-08-30 00:00:00.000,8,1996,"14.4000",18,0.0,"259.2000",259.2
1,Chai,Beverages,1996-09-30 00:00:00.000,9,1996,"14.4000",20,0.0,"288.0000",288.0
1,Chai,Beverages,1996-11-07 00:00:00.000,11,1996,"14.4000",15,0.15,"216.0000",183.6
1,Chai,Beverages,1996-11-14 00:00:00.000,11,1996,"14.4000",12,0.0,"172.8000",172.8
1,Chai,Beverages,1996-12-03 00:00:00.000,12,1996,"14.4000",15,0.15,"216.0000",183.6
1,Chai,Beverages,1997-01-07 00:00:00.000,1,1997,"14.4000",10,0.0,"144.0000",144.0
1,Chai,Beverages,1997-01-14 00:00:00.000,1,1997,"14.4000",24,0.0,"345.6000",345.6
1,Chai,Beverages,1997-03-17 00:00:00.000,3,1997,"14.4000",15,0.0,"216.0000",216.0
1,Chai,Beverages,1997-04-30 00:00:00.000,4,1997,"18.0000",40,0.2,"720.0000",576.0
1,Chai,Beverages,1997-05-05 00:00:00.000,5,1997,"18.0000",8,0.15,"144.0000",122.4
1,Chai,Beverages,1997-06-23 00:00:00.000,6,1997,"18.0000",10,0.0,"180.0000",180.0
1,Chai,Beverages,1997-07-07 00:00:00.000,7,1997,"18.0000",20,0.0,"360.0000",360.0
1,Chai,Beverages,1997-07-24 00:00:00.000,7,1997,"18.0000",3,0.0,"54.0000",54.0
1,Chai,Beverages,1997-07-25 00:00:00.000,7,1997,"18.0000",6,0.0,"108.0000",108.0
1,Chai,Beverages,1997-08-12 00:00:00.000,8,1997,"18.0000",25,0.0,"450.0000",450.0
1,Chai,Beverages,1997-08-27 00:00:00.000,8,1997,"18.0000",15,0.25,"270.0000",202.5
1,Chai,Beverages,1997-10-03 00:00:00.000,10,1997,"18.0000",30,0.0,"540.0000",540.0
1,Chai,Beverages,1997-10-01 00:00:00.000,10,1997,"18.0000",35,0.25,"630.0000",472.5
1,Chai,Beverages,1997-10-10 00:00:00.000,10,1997,"18.0000",5,0.2,"90.0000",72.0
1,Chai,Beverages,1997-11-04 00:00:00.000,11,1997,"18.0000",50,0.0,"900.0000",900.0
1,Chai,Beverages,1997-11-24 00:00:00.000,11,1997,"18.0000",8,0.0,"144.0000",144.0
1,Chai,Beverages,1998-01-19 00:00:00.000,1,1998,"18.0000",4,0.25,"72.0000",54.0
1,Chai,Beverages,1998-01-22 00:00:00.000,1,1998,"18.0000",80,0.2,"1440.0000",1152.0
1,Chai,Beverages,1998-02-02 00:00:00.000,2,1998,"18.0000",20,0.15,"360.0000",306.0
1,Chai,Beverages,1998-02-04 00:00:00.000,2,1998,"18.0000",40,0.0,"720.0000",720.0
1,Chai,Beverages,1998-02-24 00:00:00.000,2,1998,"18.0000",20,0.05,"360.0000",342.0
1,Chai,Beverages,1998-02-26 00:00:00.000,2,1998,"18.0000",10,0.0,"180.0000",180.0
1,Chai,Beverages,1998-03-02 00:00:00.000,3,1998,"18.0000",60,0.25,"1080.0000",810.0
1,Chai,Beverages,1998-03-09 00:00:00.000,3,1998,"18.0000",21,0.0,"378.0000",378.0
1,Chai,Beverages,1998-04-06 00:00:00.000,4,1998,"18.0000",4,0.0,"72.0000",72.0
1,Chai,Beverages,1998-04-07 00:00:00.000,4,1998,"18.0000",2,0.0,"36.0000",36.0
1,Chai,Beverages,1998-04-07 00:00:00.000,4,1998,"18.0000",8,0.0,"144.0000",144.0
1,Chai,Beverages,1998-04-15 00:00:00.000,4,1998,"18.0000",10,0.1,"180.0000",162.0
1,Chai,Beverages,1998-04-17 00:00:00.000,4,1998,"18.0000",45,0.0,"810.0000",810.0
1,Chai,Beverages,1998-04-20 00:00:00.000,4,1998,"18.0000",10,0.0,"180.0000",180.0
1,Chai,Beverages,1998-04-24 00:00:00.000,4,1998,"18.0000",25,0.25,"450.0000",337.5
1,Chai,Beverages,1998-05-05 00:00:00.000,5,1998,"18.0000",40,0.15,"720.0000",612.0
